Date;Area Name;Electric;Plug-In Hybrid*;Hybrid;All Hybrids;Gas;Diesel;Electric: Difference;Plug-In Hybrid*: Difference;Hybrid: Difference;All Hybrids: Difference;Gas: Difference;Diesel: Difference;Year;Month
2023-01-31 00:00:00;Pasquotank County;42.0;37.0;436.0;473.0;30067.0;2038.0;0.0;0.0;5.0;5.0;29.0;7.0;2023;01
2023-01-31 00:00:00;Randolph County;151.0;86.0;1561.0;1647.0;121967.0;9693.0;8.0;4.0;31.0;35.0;721.0;73.0;2023;01
2023-01-31 00:00:00;Robeson County;63.0;32.0;698.0;730.0;91204.0;5277.0;3.0;1.0;8.0;9.0;186.0;50.0;2023;01
2023-01-31 00:00:00;Rutherford County;72.0;50.0;724.0;774.0;56226.0;4265.0;1.0;1.0;10.0;11.0;151.0;43.0;2023;01
2023-01-31 00:00:00;Sampson County;22.0;22.0;372.0;394.0;54240.0;5057.0;1.0;2.0;5.0;7.0;241.0;18.0;2023;01
2023-01-31 00:00:00;Surry County;80.0;47.0;739.0;786.0;67744.0;11204.0;1.0;2.0;14.0;16.0;161.0;68.0;2023;01
2023-01-31 00:00:00;Transylvania County;142.0;60.0;730.0;790.0;27292.0;2322.0;0.0;3.0;10.0;13.0;109.0;-1.0;2023;01
2023-01-31 00:00:00;Wake County;10736.0;3316.0;30199.0;33515.0;781567.0;36433.0;559.0;112.0;399.0;511.0;3057.0;-730.0;2023;01
2023-01-31 00:00:00;Wilkes County;46.0;32.0;831.0;863.0;62926.0;4929.0;0.0;1.0;6.0;7.0;91.0;18.0;2023;01
2023-02-28 00:00:00;Caldwell County;97.0;61.0;836.0;897.0;71445.0;5354.0;-3.0;-2.0;10.0;8.0;109.0;-24.0;2023;02
2023-02-28 00:00:00;Catawba County;348.0;182.0;2147.0;2329.0;138793.0;10044.0;22.0;1.0;24.0;25.0;482.0;-28.0;2023;02
2023-02-28 00:00:00;Currituck County;85.0;34.0;495.0;529.0;26515.0;2594.0;-5.0;-1.0;4.0;3.0;42.0;6.0;2023;02
2023-02-28 00:00:00;Durham County;2290.0;955.0;9394.0;10349.0;197032.0;6617.0;78.0;12.0;107.0;119.0;421.0;-36.0;2023;02
2023-02-28 00:00:00;Granville County;107.0;51.0;728.0;779.0;49862.0;2994.0;1.0;-3.0;4.0;1.0;61.0;24.0;2023;02
2023-02-28 00:00:00;Jackson County;87.0;73.0;608.0;681.0;30477.0;2707.0;1.0;4.0;12.0;16.0;109.0;-52.0;2023;02
2023-02-28 00:00:00;Johnston County;575.0;245.0;2918.0;3163.0;169076.0;10922.0;15.0;8.0;21.0;29.0;199.0;37.0;2023;02
2023-02-28 00:00:00;Mitchell County;24.0;11.0;158.0;169.0;14718.0;1219.0;1.0;0.0;0.0;0.0;21.0;15.0;2023;02
2023-02-28 00:00:00;Pitt County;290.0;172.0;2070.0;2242.0;113643.0;5626.0;5.0;14.0;34.0;48.0;36.0;-20.0;2023;02
2023-02-28 00:00:00;Transylvania County;149.0;63.0;735.0;798.0;27360.0;2338.0;7.0;3.0;5.0;8.0;68.0;16.0;2023;02
2023-02-28 00:00:00;Wayne County;134.0;64.0;1034.0;1098.0;91716.0;5122.0;3.0;1.0;4.0;5.0;179.0;6.0;2023;02
2023-02-28 00:00:00;Wilson County;86.0;39.0;683.0;722.0;61870.0;4364.0;4.0;-2.0;8.0;6.0;26.0;0.0;2023;02
2023-03-31 00:00:00;Burke County;124.0;66.0;987.0;1053.0;74491.0;4766.0;5.0;2.0;15.0;17.0;437.0;41.0;2023;03
2023-03-31 00:00:00;Hertford County;13.0;5.0;121.0;126.0;16791.0;1385.0;0.0;1.0;3.0;4.0;49.0;0.0;2023;03
2023-03-31 00:00:00;Jackson County;89.0;78.0;613.0;691.0;30661.0;2734.0;2.0;5.0;5.0;10.0;184.0;27.0;2023;03
2023-03-31 00:00:00;Johnston County;617.0;250.0;2987.0;3237.0;170510.0;10953.0;42.0;5.0;69.0;74.0;1434.0;31.0;2023;03
2023-03-31 00:00:00;Jones County;6.0;8.0;75.0;83.0;8471.0;756.0;0.0;2.0;-1.0;1.0;25.0;2.0;2023;03
2023-03-31 00:00:00;Martin County;6.0;9.0;160.0;169.0;19024.0;1167.0;0.0;-1.0;7.0;6.0;171.0;19.0;2023;03
2023-03-31 00:00:00;Montgomery County;43.0;14.0;281.0;295.0;23739.0;1818.0;3.0;0.0;5.0;5.0;193.0;-3.0;2023;03
2023-03-31 00:00:00;New Hanover County;998.0;462.0;4456.0;4918.0;162967.0;8152.0;35.0;16.0;66.0;82.0;1075.0;117.0;2023;03
2023-03-31 00:00:00;Onslow County;291.0;183.0;2513.0;2696.0;132620.0;7634.0;12.0;6.0;45.0;51.0;1340.0;104.0;2023;03
2023-03-31 00:00:00;Rockingham County;90.0;58.0;862.0;920.0;79819.0;5137.0;7.0;1.0;2.0;3.0;674.0;5.0;2023;03
